Text,Language
في  أبريل م قدم الزعيم مصطفى النحاس مذكرة للسفير البريطاني ليحملها إلى الحكومة البريطانية فيها يطلب أن تصرح بريطانيا من الآن بأن القوات البريطانية ستنسحب من الأراضي المصرية فور انتهاء الحرب وأن مصر ستشارك في مفاوضات الصلح وسيتم الاعتراف بحقوق مصر في السودان وإلغاء الاحكام العرفية وقوبلت هذه المذكرة بارتياح كبيرة من فئات الشعب,Arabic
在演说中，他呼吁全人类团结起来，共同反对专制、贫困、疾病和战争，他在演说中提到的：“不要问你的国家能为你做些什么，而要问你能为你的国家做些什么。”（ask not what your country can do for you ask what you can do for your country）更是成为了美国总统历次就职演说中最脍炙人口的语句之一。在演说的最后，他强调了他在国际主义上的渴望：“最后，不管你是美国的公民还是世界的公民，请以对你们自己的高标准，来要求我们。”在他的就职演说后，约有四分之三的美國民众认可了新总统。这表明肯尼迪平稳地渡过了权力交替期。,Chinese
francisco de miranda is een gemeente in de venezolaanse staat táchira de gemeente telt  inwoners de hoofdplaats is san josé de bolívar,Dutch
oyama station was opened on  april  the station was absorbed into the jr east network upon the privatization of the japanese national railways jnr on  april  a new station building was completed in march ,English
elle est la fille de gérios tuéni et katbé sursock et fait ses études en pensionnaire chez les dames de nazareth puis en  elle séjourne en france chez son frère jean diplomate de la sublime porte en  elle suit des cours de peinture à paris et visite l’exposition universelle qui s’y tient,French
यी की अपनी चित्रलिपि पर आधारित एक लिपि है जिसमें  -  चिह्न हैं। हालांकि चीनी भावचित्र में एक प्रकार की चित्रलिपि पर आधारित हैं लेकिन चीनी लिपि और यी लिपि में कोई सम्बन्ध नहीं मिला है। आधुनिक यी लिपि को नोसू ब्बर्मा ꆈꌠꁱꂷ nuosu bburma कहा जाता है।,Hindi
artemisina plumosa adalah spesies spons yang tergolong dalam kelas demospongiae spesies ini juga merupakan bagian dari genus artemisina dan familia microcionidae nama ilmiah spesies ini pertama kali diterbitkan pada tahun  oleh hentschel,Indonesian
通称「モモ」。年組の女子生徒。お下げ髪にぽっちゃりした感じの顔つきが特徴（スズとは「ポッチャリーズ」というくくりで紹介されることもある）。いつもニコニコ、冷静だが、腹黒いところも。また「無意味かつ悪シュミな冗談」が好き。サヨとは小学校（公立）の同級生だが、同じ班になったことがある程度の面識。「部」への復帰を目論むナナとは違い、「同好会」では「楽しく新聞を作れればいい」と、それほど「部」への固執はない様子 。,Japanese
보건복지부 내부에서도 일단 환영 입장이다 행정부 내에서 보건복지부의 위상을 높일 수 있는 찬스가 될 수 있기 때문이다 더불어 고위공무원 인사적체를 해결할 수 있고 업계의 주장처럼 보건의료와 사회복지 분야 업무가 보다 효율적으로 이뤄질 수 있는 계기도 될 것이라는 의견이다 하지만 오히려 비효율성이 부각돼 다른 부처에 업무를 뺏기는 계기가 될 수 있다는 판단에 조심스러운 분위기다 저출산고령사회정책실 업무 중 일부는 여성가족부와도 맥을 같이 하고 보건산업 분야는 지식경제부와 맞물리기 때문이다,Korean
"  un ""compilateur"" témoin de son temps  appien dalexandrie et la révolte juive de  ap j-c cahiers de la villa kérylos   - hic legere potes",Latin
o rondonópolis e o goiás são os únicos times da região centro-oeste a ter um artilheiro na copa são paulo de futebol júnior valdívia na edição de  e erik na edição de  ambos marcaram oito gols,Portugese
la vârsta de treisprezece ani a decis că vrea să fie fotbalist deși tatăl său ar fi vrut ca fiul să-i calce pe urme și să devină boxer după mai multe antrenamente dure care l-au făcut pe matthews să vomite mama sa elizabeth s-a confruntat cu jack și l-a făcut să înțeleagă că fiul lor care mai avea un an de școală ar trebui să-și urmeze pasiunea pentru fotbal tatăl său a susținut că ar trebui să fie ales la trialurile pentru england schoolboys pentru a-și putea continua cariera fotbalistică în această perioadă antrenorul l-a ales pe matthews să joace pe poziția de outside-right față de poziția preferată de matthews cea de fundaș central matthews a fost convocat de england schoolboy împotriva țării galilor în  în fața unei mulțimi de  de oameni la dean court bournemouth la moartea tatălui său în  stanley i-a promis acestuia pe patul de moarte două lucruri va avea grijă de elizabeth și că va câștiga cupa angliei,Romanian
 мая  года был назначен тренером вратарей сборной россии и в этом качестве принимал участие в работе сборной на чемпионате мира  и чемпионате европы  после того как сборную россии возглавил станислав черчесов овчинников покинул тренерский штаб сборной,Russian
"en  participó en el video ""love machine"" donde varios de los actores que participan en eastenders aparecieron entre ellos patsy palmer bianca branning shona mcgarty whitney dean lacey turner stacey slater pam st clement pat evans neil mcdermott ryan malloy sid owen ricky butcher charlie brooks janine butcher adam woodyatt ian beale y jake wood max branning[]​",Spanish
cerro wichu kkollu är ett berg i bolivia det ligger i departementet oruro i den sydvästra delen av landet  km väster om huvudstaden sucre toppen på cerro wichu kkollu är   meter över havet eller  meter över den omgivande terrängen bredden vid basen är  km,Swedish
เจ้าจอมตั้งแต่ท่านที่  คือ เจ้าจอมเขียน ถึงท่านที่  คือเจ้าจอมอ่ำ เรียงลำดับโดยคาดคะเนจากระยะเวลาที่เข้ารับราชการฝ่ายในเป็นเจ้าจอม ส่วนเจ้าจอมตั้งแต่ท่านที่  คือเจ้าจอมกิมเนียวเป็นต้นไป เรียงลำดับก่อนหลังตามอักษรตัวแรกของชื่อ,Thai
peugeot  aslında peugeot efsane kuşağının  ürünüdür bu efsanenin diğer sürümleri  öncesi     ve   sonrası olarak       ve   olarak alınmıştır,Turkish
وتشتهر الجزيرة بكثرة طيور البحر التي تعيش على أرضها وكذلك الطيور البرية التي تتواجد في بعض فصول السنة ومن أكثر هذه الطيور وأشهرها طائر النورس وطائر البشروش إضافة إلى أنواع عديدة من النباتات البرية النادرة كما تكسو أرضها النباتات البرية الجميلة خلال موسم الربيع وتظهر فوق رمالها بعض الزواحف والسحالي الأرضية وبعض الحشرات البيئية كما أن بعض الجزر تربتها صالحة للزراعة ,Arabic
اخترع الإنكليزي جون هاريسون الكرونومتر البحري وهي أداة رئيسية لحل مشكلة الدقة في تحديد خطوط الطول في البحر وبهذه الطريقة زادت إمكانية البحارة في قطع مسافات طويلة في البحار على الرغم من أن جون هريسون حصل على المكافأة التي وضعتها الحكومة البريطانية لاختراعه الكرونومتر البحري سنة  إلا أن الكرونومتر ظل مكلفا للغاية وأسلوب المسافة القمرية ظل هو الأسلوب المستخدم لعدة عقود,Arabic
